problem,instance,sat,smt-bv-flat,smt-bv-nested,smt-idl-flat,smt-idl-nested,smt-lia-flat,smt-lia-nested,smt-nia-flat,smt-nia-nested,sat ratio to SAT,smt-bv-flat ratio to SAT,smt-bv-nested ratio to SAT,smt-idl-flat ratio to SAT,smt-idl-nested ratio to SAT,smt-lia-flat ratio to SAT,smt-lia-nested ratio to SAT,smt-nia-flat ratio to SAT,smt-nia-nested ratio to SAT
bibd-implied,puget23,35276,3862,1472,34139,34139,11545,11545,3862,1472,1.0,0.10947953282685112,0.041728087084703484,0.9677684544732963,0.9677684544732963,0.3272763351853952,0.3272763351853952,0.10947953282685112,0.041728087084703484
bibd-implied,puget24,68551,5467,1897,75567,75567,16240,16240,5467,1897,1.0,0.07975084243847647,0.027672827529868275,1.102347157590699,1.102347157590699,0.23690391095680588,0.23690391095680588,0.07975084243847647,0.027672827529868275
bibd-implied,puget3,17961,701,517,18826,18826,1253,1253,701,517,1.0,0.03902900729358053,0.028784588831356827,1.0481599020099104,1.0481599020099104,0.06976226268025165,0.06976226268025165,0.03902900729358053,0.028784588831356827
bibd-implied,puget4,24537,847,621,25819,25819,1525,1525,847,621,1.0,0.0345192973876187,0.025308717447120675,1.0522476260341525,1.0522476260341525,0.06215103720911277,0.06215103720911277,0.0345192973876187,0.025308717447120675
bibd-implied,puget5,28421,1675,828,30936,30936,4216,4216,1675,828,1.0,0.05893529432461912,0.029133387284050526,1.0884909046127864,1.0884909046127864,0.14834101544632491,0.14834101544632491,0.05893529432461912,0.029133387284050526
bibd-implied,puget6,29379,2131,1012,31457,31457,5506,5506,2131,1012,1.0,0.07253480377140134,0.03444637325981143,1.0707307941046325,1.0707307941046325,0.18741277783450763,0.18741277783450763,0.07253480377140134,0.03444637325981143
bibd-implied,puget7,150210,3842,2165,160131,160131,8873,8873,3842,2165,1.0,0.025577524798615272,0.014413154916450304,1.0660475334531656,1.0660475334531656,0.05907063444511018,0.05907063444511018,0.025577524798615272,0.014413154916450304
bibd-implied,puget8,179573,4268,2402,191142,191142,9866,9866,4268,2402,1.0,0.023767492885901555,0.013376175705701859,1.0644250527640569,1.0644250527640569,0.054941444426500646,0.054941444426500646,0.023767492885901555,0.013376175705701859
bibd-implied,puget9,21553,1349,710,23317,23317,3266,3266,1349,710,1.0,0.06258989467823504,0.03294204983065003,1.0818447547905163,1.0818447547905163,0.1515334292209901,0.1515334292209901,0.06258989467823504,0.03294204983065003
bibd,bibd-miguel-hard,49242,1728,1032,52196,52196,3816,3816,1728,1032,1.0,0.03509199463872304,0.020957719020348483,1.0599894399090208,1.0599894399090208,0.07749482149384672,0.07749482149384672,0.03509199463872304,0.020957719020348483
bibd,bibdline1,133725,3193,2012,138815,138815,6736,6736,3193,2012,1.0,0.023877360254253133,0.015045802953823144,1.0380631893811927,1.0380631893811927,0.05037203215554309,0.05037203215554309,0.023877360254253133,0.015045802953823144
bibd,puget1,14850,834,508,15654,15654,1812,1812,834,508,1.0,0.05616161616161616,0.03420875420875421,1.054141414141414,1.054141414141414,0.12202020202020201,0.12202020202020201,0.05616161616161616,0.03420875420875421
bibd,puget10,45238,3266,1302,49079,49079,9158,9158,3266,1302,1.0,0.07219594146513993,0.02878111322339626,1.0849064945399884,1.0849064945399884,0.20244042619037092,0.20244042619037092,0.07219594146513993,0.02878111322339626
bibd,puget11,17042,2088,907,15394,15394,5904,5904,2088,907,1.0,0.12252083088839338,0.05322145288111724,0.9032977350076282,0.9032977350076282,0.3464382114775261,0.3464382114775261,0.12252083088839338,0.05322145288111724
bibd,puget12,95321,4094,2155,99898,99898,9911,9911,4094,2155,1.0,0.042949612362438494,0.02260781989278333,1.048016701461378,1.048016701461378,0.10397498977140399,0.10397498977140399,0.042949612362438494,0.02260781989278333
bibd,puget13,54730,3690,1354,60410,60410,10698,10698,3690,1354,1.0,0.06742188927462087,0.024739630915402887,1.1037822035446738,1.1037822035446738,0.1954686643522748,0.1954686643522748,0.06742188927462087,0.024739630915402887
bibd,puget14,111528,5630,2698,117472,117472,14426,14426,5630,2698,1.0,0.050480596800803385,0.024191234488200274,1.0532960332831218,1.0532960332831218,0.12934868373861272,0.12934868373861272,0.050480596800803385,0.024191234488200274
bibd,puget15,157444,5474,2873,165326,165326,13277,13277,5474,2873,1.0,0.0347679174817713,0.018247757932979346,1.050062244353548,1.050062244353548,0.08432839612814715,0.08432839612814715,0.0347679174817713,0.018247757932979346
bibd,puget16,158404,7710,3529,167634,167634,20253,20253,7710,3529,1.0,0.048673013307744754,0.022278477816216762,1.0582687305876115,1.0582687305876115,0.12785661978232873,0.12785661978232873,0.048673013307744754,0.022278477816216762
bibd,puget17,21936,2075,880,23100,23100,5705,5705,2075,880,1.0,0.09459336250911743,0.04011670313639679,1.0530634573304158,1.0530634573304158,0.2600747629467542,0.2600747629467542,0.09459336250911743,0.04011670313639679
bibd,puget18,26995,3076,1370,24153,24153,8428,8428,3076,1370,1.0,0.11394702722726431,0.050750138914613815,0.8947212446749399,0.8947212446749399,0.3122059640674199,0.3122059640674199,0.11394702722726431,0.050750138914613815
bibd,puget19,93198,6695,2852,97564,97564,18233,18233,6695,2852,1.0,0.07183630550011803,0.030601515053971115,1.0468464988519066,1.0468464988519066,0.19563724543445138,0.19563724543445138,0.07183630550011803,0.030601515053971115
bibd,puget2,39149,1543,982,40583,40583,3226,3226,1543,982,1.0,0.03941352269534343,0.025083654754910725,1.0366292881044217,1.0366292881044217,0.08240312651664154,0.08240312651664154,0.03941352269534343,0.025083654754910725
bibd,puget20,27253,2415,1028,28673,28673,6606,6606,2415,1028,1.0,0.0886140975305471,0.03772061791362419,1.0521043554837999,1.0521043554837999,0.24239533262393131,0.24239533262393131,0.0886140975305471,0.03772061791362419
bibd,puget21,118588,8293,2497,132397,132397,25681,25681,8293,2497,1.0,0.06993119033966337,0.021056093365264615,1.1164451715181976,1.1164451715181976,0.21655648126285965,0.21655648126285965,0.06993119033966337,0.021056093365264615
bibd,puget22,66325,7985,2527,61752,61752,25118,25118,7985,2527,1.0,0.1203920090463626,0.038100263852242744,0.9310516396532228,0.9310516396532228,0.3787108933283076,0.3787108933283076,0.1203920090463626,0.038100263852242744
bibd,puget23,30783,3811,1404,28407,28407,11545,11545,3811,1404,1.0,0.123802098560894,0.0456095897086054,0.9228145404931293,0.9228145404931293,0.3750446675112887,0.3750446675112887,0.123802098560894,0.0456095897086054
bibd,puget24,63450,5490,1846,69023,69023,16485,16485,5490,1846,1.0,0.08652482269503546,0.02909377462568952,1.087832939322301,1.087832939322301,0.2598108747044917,0.2598108747044917,0.08652482269503546,0.02909377462568952
bibd,puget3,15277,700,507,15577,15577,1279,1279,700,507,1.0,0.04582051449891995,0.03318714407278916,1.01963736335668,1.01963736335668,0.0837206257773123,0.0837206257773123,0.04582051449891995,0.03318714407278916
bibd,puget4,20753,851,613,21279,21279,1565,1565,851,613,1.0,0.04100611959716668,0.029537898135209368,1.0253457331470148,1.0253457331470148,0.07541078398303859,0.07541078398303859,0.04100611959716668,0.029537898135209368
bibd,puget5,26687,1635,788,28750,28750,4176,4176,1635,788,1.0,0.061265784839060214,0.029527485292464496,1.0773035560385207,1.0773035560385207,0.1564806834788474,0.1564806834788474,0.061265784839060214,0.029527485292464496
bibd,puget6,25246,2128,980,26293,26293,5590,5590,2128,980,1.0,0.08429058068604928,0.03881803057910164,1.0414719163431831,1.0414719163431831,0.22142121524201855,0.22142121524201855,0.08429058068604928,0.03881803057910164
bibd,puget7,118524,4062,2240,124107,124107,9528,9528,4062,2240,1.0,0.03427153994127772,0.01889912591542641,1.0471043839222436,1.0471043839222436,0.08038878201883162,0.08038878201883162,0.03427153994127772,0.01889912591542641
bibd,puget8,140696,4517,2489,147294,147294,10601,10601,4517,2489,1.0,0.0321046795928811,0.017690623756183545,1.0468954341274805,1.0468954341274805,0.07534684710297379,0.07534684710297379,0.0321046795928811,0.017690623756183545
bibd,puget9,19834,1324,677,21134,21134,3265,3265,1324,677,1.0,0.06675405868710295,0.03413330644348089,1.065544015327216,1.065544015327216,0.16461631541796914,0.16461631541796914,0.06675405868710295,0.03413330644348089
blackHole,BMS-100,58795,38630,33860,52080,52080,38630,33860,38630,33860,1.0,0.6570286588995663,0.5758993111659154,0.8857896079598605,0.8857896079598605,0.6570286588995663,0.5758993111659154,0.6570286588995663,0.5758993111659154
blackHole,BMS-177,63835,41931,36765,56668,56668,41931,36765,41931,36765,1.0,0.656865355995927,0.5759379650661862,0.8877261690295293,0.8877261690295293,0.656865355995927,0.5759379650661862,0.656865355995927,0.5759379650661862
blackHole,PN-1,59388,39660,34719,53698,53698,39660,34719,39660,34719,1.0,0.6678116791270964,0.5846130531420489,0.9041893985316899,0.9041893985316899,0.6678116791270964,0.5846130531420489,0.6678116791270964,0.5846130531420489
blackHole,PN-10,65529,44195,38828,59590,59590,44195,38828,44195,38828,1.0,0.6744342199636802,0.5925315509163882,0.9093683712554747,0.9093683712554747,0.6744342199636802,0.5925315509163882,0.6744342199636802,0.5925315509163882
blackHole,PN-2,52792,35075,30665,47484,47484,35075,30665,35075,30665,1.0,0.6643999090771329,0.5808645249280194,0.8994544627973935,0.8994544627973935,0.6643999090771329,0.5808645249280194,0.6643999090771329,0.5808645249280194
blackHole,PN-3,63946,42945,37695,57794,57794,42945,37695,42945,37695,1.0,0.6715822725424577,0.5894817502267539,0.9037938260407219,0.9037938260407219,0.6715822725424577,0.5894817502267539,0.6715822725424577,0.5894817502267539
blackHole,PN-4,69982,46828,41221,62702,62702,46828,41221,46828,41221,1.0,0.6691434940413249,0.5890228916006973,0.8959732502643537,0.8959732502643537,0.6691434940413249,0.5890228916006973,0.6691434940413249,0.5890228916006973
blackHole,PN-5,104,104,104,104,104,104,104,104,104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
blackHole,PN-6,65347,43630,38335,58637,58637,43630,38335,43630,38335,1.0,0.6676664575267418,0.5866374890966686,0.8973173978912574,0.8973173978912574,0.6676664575267418,0.5866374890966686,0.6676664575267418,0.5866374890966686
blackHole,PN-7,55077,36734,32141,49697,49697,36734,32141,36734,32141,1.0,0.6669571690542332,0.5835648274234254,0.9023185721807652,0.9023185721807652,0.6669571690542332,0.5835648274234254,0.6669571690542332,0.5835648274234254
blackHole,PN-8,66463,44618,39251,59874,59874,44618,39251,44618,39251,1.0,0.6713208853046055,0.5905691888720039,0.9008621338188165,0.9008621338188165,0.6713208853046055,0.5905691888720039,0.6713208853046055,0.5905691888720039
blackHole,PN-9,64783,43320,38031,58296,58296,43320,38031,43320,38031,1.0,0.6686939474862232,0.5870521587453499,0.8998657055091613,0.8998657055091613,0.6686939474862232,0.5870521587453499,0.6686939474862232,0.5870521587453499
bpmp,1176,56356,1815,1450,50600,50600,16035,15718,1815,1450,1.0,0.03220597629356235,0.02572929235573852,0.8978635815174959,0.8978635815174959,0.28453048477535664,0.27890552913620553,0.03220597629356235,0.02572929235573852
bpmp,1266,56467,1815,1450,50660,50660,16059,15742,1815,1450,1.0,0.03214266739865762,0.0256787150016824,0.8971611737829175,0.8971611737829175,0.284396196008288,0.2787822976251616,0.03214266739865762,0.0256787150016824
bpmp,2254,56519,1815,1450,50780,50780,16107,15790,1815,1450,1.0,0.03211309471151294,0.025655089438949733,0.89845892531715,0.89845892531715,0.2849838107539058,0.2793750774075974,0.03211309471151294,0.025655089438949733
bpmp,3237,55591,1815,1450,50210,50210,15900,15583,1815,1450,1.0,0.03264916982964868,0.026083358817074707,0.9032037560036696,0.9032037560036696,0.2860175208217157,0.28031515892860354,0.03264916982964868,0.026083358817074707
bpmp,3345,56305,1815,1450,50660,50660,16059,15742,1815,1450,1.0,0.032235147855430246,0.025752597460261078,0.8997424740253974,0.8997424740253974,0.2852144569754018,0.2795844063582275,0.032235147855430246,0.025752597460261078
bpmp,412,56322,1815,1450,50600,50600,16035,15718,1815,1450,1.0,0.0322254181314584,0.025744824402542523,0.8984055963921735,0.8984055963921735,0.2847022477894961,0.27907389652356096,0.0322254181314584,0.025744824402542523
bpmp,4629,56132,1815,1450,50210,50210,15900,15583,1815,1450,1.0,0.0323344972564669,0.025831967505166392,0.8944986816788998,0.8944986816788998,0.2832608850566522,0.2776134825055227,0.0323344972564669,0.025831967505166392
bpmp,7059,56236,1815,1450,50480,50480,15987,15670,1815,1450,1.0,0.03227469948075966,0.02578419517746639,0.8976456362472438,0.8976456362472438,0.28428408848424497,0.2786471299523437,0.03227469948075966,0.02578419517746639
bpmp,7324,56313,1815,1450,50780,50780,16107,15790,1815,1450,1.0,0.03223056843002504,0.025748938966135705,0.9017456004830146,0.9017456004830146,0.2860263171914123,0.2803970663967468,0.03223056843002504,0.025748938966135705
bpmp,7326,56419,1815,1450,50420,50420,15963,15646,1815,1450,1.0,0.03217001364788458,0.025700561867456,0.8936705719704355,0.8936705719704355,0.2829365993725518,0.2773179248125631,0.03217001364788458,0.025700561867456
bpmp,7444,56092,1815,1450,50450,50450,15996,15679,1815,1450,1.0,0.032357555444626686,0.02585038864722242,0.8994152463809456,0.8994152463809456,0.285174356414462,0.27952292662055195,0.032357555444626686,0.02585038864722242
bpmp,7661,56320,1815,1450,50450,50450,15996,15679,1815,1450,1.0,0.0322265625,0.025745738636363636,0.8957741477272727,0.8957741477272727,0.28401988636363634,0.2783913352272727,0.0322265625,0.025745738636363636
bpmp,7750,56069,1815,1450,50654,50654,16059,15742,1815,1450,1.0,0.03237082880022829,0.02586099270541654,0.9034225686208065,0.9034225686208065,0.28641495300433395,0.2807612049439084,0.03237082880022829,0.02586099270541654
bpmp,8848,56093,1815,1450,50780,50780,16107,15790,1815,1450,1.0,0.03235697858912877,0.02584992779847753,0.9052822990390957,0.9052822990390957,0.2871481290000535,0.28149679995721394,0.03235697858912877,0.02584992779847753
briansBrain,life-3-2,20,20,20,20,20,20,20,20,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
briansBrain,life-3-3,29,29,29,29,29,29,29,29,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
briansBrain,life-3-4,38,38,38,38,38,38,38,38,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
briansBrain,life-3-5,47,47,47,47,47,47,47,47,47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
briansBrain,life-3-6,56,56,56,56,56,56,56,56,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
briansBrain,life-4-2,34,34,34,34,34,34,34,34,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
briansBrain,life-4-3,220314,219417,219403,219600,219600,219420,219406,219408,219394,1.0,0.9959285383588877,0.9958649926922484,0.9967591710013889,0.9967591710013889,0.9959421552874533,0.995878609620814,0.995887687573191,0.9958241419065516
briansBrain,life-4-4,321314,320014,320000,320181,320181,320014,320000,320014,320000,1.0,0.9959541134217619,0.9959105423355347,0.9964738542360433,0.9964738542360433,0.9959541134217619,0.9959105423355347,0.9959541134217619,0.9959105423355347
briansBrain,life-4-5,426478,424692,424679,424819,424819,424692,424679,424692,424679,1.0,0.9958122107119242,0.9957817284830636,0.9961099986400236,0.9961099986400236,0.9958122107119242,0.9957817284830636,0.9958122107119242,0.9957817284830636
briansBrain,life-4-6,561753,559221,559207,559362,559362,559221,559207,559221,559207,1.0,0.9954926809469642,0.9954677589616789,0.9957436809416238,0.9957436809416238,0.9954926809469642,0.9954677589616789,0.9954926809469642,0.9954677589616789
briansBrain,life-5-2,52,52,52,52,52,52,52,52,52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
briansBrain,life-5-3,736686,734976,734955,735452,735452,734979,734955,734964,734940,1.0,0.997678793950204,0.997650287910996,0.9983249308389192,0.9983249308389192,0.9976828662415195,0.997650287910996,0.9976625047849423,0.9976299264544188
briansBrain,life-5-4,913591,911377,911354,911800,911800,911377,911354,911377,911354,1.0,0.9975765960916866,0.9975514207123319,0.99803960415547,0.99803960415547,0.9975765960916866,0.9975514207123319,0.9975765960916866,0.9975514207123319
briansBrain,life-5-5,1128139,1125104,1125082,1125466,1125466,1125104,1125082,1125104,1125082,1.0,0.9973097286770514,0.9972902275340184,0.9976306111215019,0.9976306111215019,0.9973097286770514,0.9972902275340184,0.9973097286770514,0.9972902275340184
briansBrain,life-5-6,1524338,1519902,1519878,1520309,1520309,1519902,1519878,1519902,1519878,1.0,0.9970898842645135,0.9970741397249167,0.997356885415177,0.997356885415177,0.9970898842645135,0.9970741397249167,0.9970898842645135,0.9970741397249167
briansBrain,life-6-2,74,74,74,74,74,74,74,74,74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
briansBrain,life-6-3,1328804,1325697,1325662,1326627,1326624,1325694,1325659,1325679,1325644,1.0,0.9976618071589188,0.9976354676837216,0.9983616846427313,0.9983594269734287,0.9976595494896162,0.997633210014419,0.9976482611431031,0.9976219216679059
briansBrain,life-6-4,1702883,1698971,1698937,1699823,1699823,1698971,1698937,1698971,1698937,1.0,0.9977027194469614,0.9976827533071855,0.9982030474201692,0.9982030474201692,0.9977027194469614,0.9976827533071855,0.9977027194469614,0.9976827533071855
briansBrain,life-6-5,2114703,2109588,2109555,2110354,2110354,2109588,2109555,2109588,2109555,1.0,0.9975812206253076,0.9975656155970839,0.9979434464319575,0.9979434464319575,0.9975812206253076,0.9975656155970839,0.9975812206253076,0.9975656155970839
briansBrain,life-6-6,2708314,2701254,2701219,2702082,2702082,2701254,2701219,2701254,2701219,1.0,0.997393212160776,0.9973802889916015,0.9976989374201071,0.9976989374201071,0.997393212160776,0.9973802889916015,0.997393212160776,0.9973802889916015
briansBrain,life-7-2,100,100,100,100,100,100,100,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
briansBrain,life-7-3,2085556,2081161,2081116,2082808,2082823,2081167,2081119,2081149,2081101,1.0,0.9978926482913909,0.9978710713114393,0.9986823657576205,0.9986895580842711,0.997895525222051,0.9978725097767693,0.9978868944300704,0.9978638789847887
briansBrain,life-7-4,2711785,2706242,2706195,2707797,2707797,2706242,2706195,2706242,2706195,1.0,0.9979559588979214,0.9979386271404259,0.9985293819384649,0.9985293819384649,0.9979559588979214,0.9979386271404259,0.9979559588979214,0.9979386271404259
briansBrain,life-7-5,3375874,3368660,3368614,3370103,3370103,3368660,3368614,3368660,3368614,1.0,0.99786307190375,0.9978494458027758,0.9982905167669173,0.9982905167669173,0.99786307190375,0.9978494458027758,0.99786307190375,0.9978494458027758
